	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
78	461.33099999999996	3.0	464.34	4.5	Old61	Enc53	1	9	0.698
79	468.837	3.0	471.846	8.5	Old42	Enc54	1	8	0.856
80	480.338	3.0	483.347	1.0	Old55	Enc55	1	8	0.866
81	484.35	3.0	487.35900000000004	6.0	False	CTL27	0	6	0.934
82	493.36	3.0	496.369	1.5	Old33	Enc56	1	6	0.924
83	497.85699999999997	3.0	500.866	13.0	False	CTL28	0	6	0.9790000000000001
84	513.855	3.0	516.864	1.5	Old60	Enc57	1	9	0.94
85	518.352	3.0	521.361	1.5	Old67	Enc58	1	9	0.915
86	522.8480000000002	3.0	525.857	7.5	Old57	Enc59	1	5	0.875
87	533.346	3.0	536.355	1.5	False	CTL29	0	9	0.545
88	537.8430000000002	3.0	540.852	3.5	Old58	Enc60	1	8	0.496
89	544.346	3.0	547.355	1.0	False	CTL30	0	8	0.0
90	548.3580000000002	3.0	551.367	1.5	Old01	Enc61	1	8	0.772
91	552.855	3.0	555.864	3.5	False	CTL31	0	8	0.6509999999999999
92	559.3580000000002	3.0	562.366	4.5	Old38	Enc62	1	5	1.036
93	566.863	3.0	569.872	3.0	False	CTL32	0	5	0.635
94	572.865	3.0	575.874	0.5	Old71	Enc63	1	8	0.873
95	576.375	3.0	579.384	8.0	Old73	Enc64	1	9	0.723
96	587.375	3.0	590.384	5.0	False	CTL33	0	9	0.675
97	595.382	3.0	598.391	0.5	False	CTL34	0	9	0.579
98	598.8919999999998	3.0	601.901	1.0	Old68	Enc65	1	8	0.653
99	602.888	3.0	605.8969999999998	11.0	Old78	Enc66	1	8	0.713
100	617.398	3.0	620.4069999999998	2.5	False	CTL35	0	6	0.603
101	622.8969999999998	3.0	625.906	2.0	Old02	Enc67	1	5	0.504
102	627.896	3.0	630.905	0.5	Old11	Enc68	1	9	0.8
103	631.406	3.0	634.415	1.0	Old39	Enc69	1	5	0.7859999999999999
104	635.401	3.0	638.41	1.0	Old48	Enc70	1	9	0.655
